sigma,epsilon,side,grid_points,threshold,s,observed_modes,expected_modes,success
0.6,0.2,below,5000,1.3888888888888888,1.1888888888888889,1,1,true
0.6,0.2,below,10000,1.3888888888888888,1.1888888888888889,1,1,true
0.6,0.2,below,20000,1.3888888888888888,1.1888888888888889,1,1,true
0.6,0.2,above,5000,1.3888888888888888,1.5888888888888888,2,2,true
0.6,0.2,above,10000,1.3888888888888888,1.5888888888888888,2,2,true
0.6,0.2,above,20000,1.3888888888888888,1.5888888888888888,2,2,true
0.6,0.1,below,5000,1.3888888888888888,1.2888888888888888,1,1,true
0.6,0.1,below,10000,1.3888888888888888,1.2888888888888888,1,1,true
0.6,0.1,below,20000,1.3888888888888888,1.2888888888888888,1,1,true
0.6,0.1,above,5000,1.3888888888888888,1.488888888888889,2,2,true
0.6,0.1,above,10000,1.3888888888888888,1.488888888888889,2,2,true
0.6,0.1,above,20000,1.3888888888888888,1.488888888888889,2,2,true
0.6,0.05,below,5000,1.3888888888888888,1.3388888888888888,1,1,true
0.6,0.05,below,10000,1.3888888888888888,1.3388888888888888,1,1,true
0.6,0.05,below,20000,1.3888888888888888,1.3388888888888888,1,1,true
0.6,0.05,above,5000,1.3888888888888888,1.4388888888888889,2,2,true
0.6,0.05,above,10000,1.3888888888888888,1.4388888888888889,2,2,true
0.6,0.05,above,20000,1.3888888888888888,1.4388888888888889,2,2,true
0.6,0.02,below,5000,1.3888888888888888,1.3688888888888888,1,1,true
0.6,0.02,below,10000,1.3888888888888888,1.3688888888888888,1,1,true
0.6,0.02,below,20000,1.3888888888888888,1.3688888888888888,1,1,true
0.6,0.02,above,5000,1.3888888888888888,1.4088888888888889,2,2,true
0.6,0.02,above,10000,1.3888888888888888,1.4088888888888889,2,2,true
0.6,0.02,above,20000,1.3888888888888888,1.4088888888888889,2,2,true
1.0,0.2,below,5000,0.5,0.3,1,1,true
1.0,0.2,below,10000,0.5,0.3,1,1,true
1.0,0.2,below,20000,0.5,0.3,1,1,true
1.0,0.2,above,5000,0.5,0.7,2,2,true
1.0,0.2,above,10000,0.5,0.7,2,2,true
1.0,0.2,above,20000,0.5,0.7,2,2,true
1.0,0.1,below,5000,0.5,0.4,1,1,true
1.0,0.1,below,10000,0.5,0.4,1,1,true
1.0,0.1,below,20000,0.5,0.4,1,1,true
1.0,0.1,above,5000,0.5,0.6,2,2,true
1.0,0.1,above,10000,0.5,0.6,2,2,true
1.0,0.1,above,20000,0.5,0.6,2,2,true
1.0,0.05,below,5000,0.5,0.45,1,1,true
1.0,0.05,below,10000,0.5,0.45,1,1,true
1.0,0.05,below,20000,0.5,0.45,1,1,true
1.0,0.05,above,5000,0.5,0.55,2,2,true
1.0,0.05,above,10000,0.5,0.55,2,2,true
1.0,0.05,above,20000,0.5,0.55,2,2,true
1.0,0.02,below,5000,0.5,0.48,1,1,true
1.0,0.02,below,10000,0.5,0.48,1,1,true
1.0,0.02,below,20000,0.5,0.48,1,1,true
1.0,0.02,above,5000,0.5,0.52,2,2,true
1.0,0.02,above,10000,0.5,0.52,2,2,true
1.0,0.02,above,20000,0.5,0.52,2,2,true
1.4,0.2,below,5000,0.2551020408163266,0.05510204081632658,1,1,true
1.4,0.2,below,10000,0.2551020408163266,0.05510204081632658,1,1,true
1.4,0.2,below,20000,0.2551020408163266,0.05510204081632658,1,1,true
1.4,0.2,above,5000,0.2551020408163266,0.4551020408163266,2,2,true
1.4,0.2,above,10000,0.2551020408163266,0.4551020408163266,2,2,true
1.4,0.2,above,20000,0.2551020408163266,0.4551020408163266,2,2,true
1.4,0.1,below,5000,0.2551020408163266,0.1551020408163266,1,1,true
1.4,0.1,below,10000,0.2551020408163266,0.1551020408163266,1,1,true
1.4,0.1,below,20000,0.2551020408163266,0.1551020408163266,1,1,true
1.4,0.1,above,5000,0.2551020408163266,0.35510204081632657,2,2,true
1.4,0.1,above,10000,0.2551020408163266,0.35510204081632657,2,2,true
1.4,0.1,above,20000,0.2551020408163266,0.35510204081632657,2,2,true
1.4,0.05,below,5000,0.2551020408163266,0.2051020408163266,1,1,true
1.4,0.05,below,10000,0.2551020408163266,0.2051020408163266,1,1,true
1.4,0.05,below,20000,0.2551020408163266,0.2051020408163266,1,1,true
1.4,0.05,above,5000,0.2551020408163266,0.3051020408163266,2,2,true
1.4,0.05,above,10000,0.2551020408163266,0.3051020408163266,2,2,true
1.4,0.05,above,20000,0.2551020408163266,0.3051020408163266,2,2,true
1.4,0.02,below,5000,0.2551020408163266,0.2351020408163266,1,1,true
1.4,0.02,below,10000,0.2551020408163266,0.2351020408163266,1,1,true
1.4,0.02,below,20000,0.2551020408163266,0.2351020408163266,1,1,true
1.4,0.02,above,5000,0.2551020408163266,0.2751020408163266,2,2,true
1.4,0.02,above,10000,0.2551020408163266,0.2751020408163266,2,2,true
1.4,0.02,above,20000,0.2551020408163266,0.2751020408163266,2,2,true
2.0,0.2,below,5000,0.125,-0.07500000000000001,1,1,true
2.0,0.2,below,10000,0.125,-0.07500000000000001,1,1,true
2.0,0.2,below,20000,0.125,-0.07500000000000001,1,1,true
2.0,0.2,above,5000,0.125,0.325,2,2,true
2.0,0.2,above,10000,0.125,0.325,2,2,true
2.0,0.2,above,20000,0.125,0.325,2,2,true
2.0,0.1,below,5000,0.125,0.024999999999999994,1,1,true
2.0,0.1,below,10000,0.125,0.024999999999999994,1,1,true
2.0,0.1,below,20000,0.125,0.024999999999999994,1,1,true
2.0,0.1,above,5000,0.125,0.225,2,2,true
2.0,0.1,above,10000,0.125,0.225,2,2,true
2.0,0.1,above,20000,0.125,0.225,2,2,true
2.0,0.05,below,5000,0.125,0.075,1,1,true
2.0,0.05,below,10000,0.125,0.075,1,1,true
2.0,0.05,below,20000,0.125,0.075,1,1,true
2.0,0.05,above,5000,0.125,0.175,2,2,true
2.0,0.05,above,10000,0.125,0.175,2,2,true
2.0,0.05,above,20000,0.125,0.175,2,2,true
2.0,0.02,below,5000,0.125,0.105,1,1,true
2.0,0.02,below,10000,0.125,0.105,1,1,true
2.0,0.02,below,20000,0.125,0.105,1,1,true
2.0,0.02,above,5000,0.125,0.145,2,2,true
2.0,0.02,above,10000,0.125,0.145,2,2,true
2.0,0.02,above,20000,0.125,0.145,2,2,true
