trial,L,kappa,max_identity_err,min_ei_increment,success
1,3.0733628078565225,0.07040953616026335,5.551115123125783e-17,-0.006766952011618671,true
2,3.9387268512489477,0.03624395153802629,4.85722573273506e-17,-0.0028527217784030945,true
3,2.706643360520723,0.15951191504040751,8.326672684688674e-17,-0.02104389722856248,true
4,2.62138424007618,0.15068175458417873,5.551115123125783e-17,-0.01924178082752831,true
5,2.8407529291327642,0.03314864553034963,2.0816681711721685e-17,-0.0028023007491404656,true
6,3.906341036302489,0.035961370454929975,4.85722573273506e-17,-0.0027988372307790055,true
7,2.4212799037085992,0.08025994238200124,4.85722573273506e-17,-0.007734403562977221,true
8,1.9955561255887604,0.1584290212055349,5.551115123125783e-17,-0.01942760542973168,true
9,2.862646488234608,0.034662142270729335,8.326672684688674e-17,-0.002704651103912284,true
10,3.895289808080514,0.016745265617373616,1.734723475976807e-17,-0.0011150097270447232,true
11,3.1404810859525707,0.07204848676198854,6.938893903907228e-17,-0.007233516809942275,true
12,2.8328464157883038,0.0245302476994605,5.204170427930421e-17,-0.002021683942125145,true
13,3.7531405331314165,0.08350599970500551,8.326672684688674e-17,-0.008354483493822729,true
14,3.421152109271887,0.03581196052879766,8.326672684688674e-17,-0.002744065818321789,true
15,1.6605004194146007,0.09366369177502581,5.551115123125783e-17,-0.008942949532037558,true
16,3.3917023563510686,0.055169150744386,4.85722573273506e-17,-0.00454092833109665,true
17,1.8480922896603869,0.21263970739402976,5.551115123125783e-17,-0.02923984010559416,true
18,1.8547996305188472,0.14793141612791827,4.163336342344337e-17,-0.01663635884099171,true
19,3.8064124559892774,0.11032348195173912,8.326672684688674e-17,-0.012515797761409764,true
20,1.9530711053736916,0.1626281358608852,9.71445146547012e-17,-0.018865470966154985,true
21,3.7500345999073854,0.03362451943378755,5.204170427930421e-17,-0.002968216847741137,true
22,3.3677071752086034,0.021795285576812755,5.551115123125783e-17,-0.0015554379126000856,true
23,2.944398396257991,0.04570465209384362,7.632783294297951e-17,-0.003639869723920386,true
24,2.4541142665416658,0.04058255293127609,6.938893903907228e-17,-0.003596631429074154,true
25,2.341345588487117,0.17989570775652006,5.551115123125783e-17,-0.025537566277258616,true
26,2.3888291502401913,0.1695171000722081,2.7755575615628914e-17,-0.0233319272697326,true
27,3.4162943729555133,0.06851672919443365,4.85722573273506e-17,-0.005945132401234954,true
28,2.4665374912188556,0.019389909199156043,5.377642775528102e-17,-0.0016702371775022505,true
29,3.308808231960478,0.1006479520733172,5.551115123125783e-17,-0.009965011275077484,true
30,3.024439419011483,0.13796902917785986,2.7755575615628914e-17,-0.01832757489398812,true
31,3.19631126912402,0.021553375790783858,5.204170427930421e-17,-0.001635473014207571,true
32,3.818376320842015,0.01359833669410996,3.469446951953614e-17,-0.0008355970544429228,true
33,3.300260010633359,0.11299680874286544,8.326672684688674e-17,-0.013593574627137062,true
34,2.6338197493338997,0.15861755647682588,8.326672684688674e-17,-0.02127905782450551,true
35,2.1293000613620556,0.0650890268941083,4.163336342344337e-17,-0.006063872714413027,true
36,2.0470278774892514,0.211204563472502,5.551115123125783e-17,-0.03074746455876476,true
37,1.7196520074064434,0.09521447973159414,7.632783294297951e-17,-0.008780729876450469,true
38,3.61301292036402,0.10664393193010047,5.551115123125783e-17,-0.012126959539511872,true
39,3.0173651225867175,0.13849328579857492,8.326672684688674e-17,-0.015512379101104312,true
40,3.0559845882192693,0.1098154134264715,5.551115123125783e-17,-0.013220459811172425,true
